This is Ipopt version 3.12.3, running with linear solver mumps.
NOTE: Other linear solvers might be more efficient (see Ipopt documentation).

Number of nonzeros in equality constraint Jacobian...:    72836
Number of nonzeros in inequality constraint Jacobian.:     7800
Number of nonzeros in Lagrangian Hessian.............:    74161

Total number of variables............................:    20847
                     variables with only lower bounds:     3912
                variables with lower and upper bounds:    16935
                     variables with only upper bounds:        0
Total number of equality constraints.................:    16912
Total number of inequality constraints...............:     3900
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:     3900
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0 1.3716699e+000 3.28e-001 7.52e+000  -1.0 0.00e+000    -  0.00e+000 0.00e+000   0
   1 1.7435491e+000 4.29e+001 4.43e+001  -1.0 1.19e+001   0.0 1.43e-002 7.50e-002f  1
   2 1.9061270e+000 8.96e+001 4.06e+001  -1.0 1.07e+001    -  6.05e-002 6.38e-002f  1
   3 2.0920667e+000 8.07e+001 3.62e+001  -1.0 3.31e+000    -  3.02e-001 8.58e-002f  1
   4 2.2528426e+000 7.86e+001 3.41e+001  -1.0 4.88e+000    -  2.47e-001 3.88e-002f  1
   5 2.5589137e+000 6.98e+001 2.65e+001  -1.0 5.10e+000    -  1.06e-001 1.00e-001f  1
   6 2.5685010e+000 6.14e+001 4.16e+001  -1.0 1.09e+000    -  6.75e-001 1.29e-001f  1
   7 2.6334465e+000 4.23e+001 3.12e+001  -1.0 2.00e+000    -  3.62e-002 4.44e-001f  1
   8 2.6360064e+000 4.14e+001 3.22e+001  -1.0 5.86e-001    -  5.82e-001 2.00e-002f  1
   9 2.9128741e+000 1.92e+002 8.21e+001  -1.0 2.80e+000    -  8.07e-001 1.00e+000f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10 2.8976738e+000 1.80e+002 7.66e+001  -1.0 1.16e+001   0.4 2.67e-002 6.44e-002h  1
  11 2.8906121e+000 1.74e+002 7.35e+001  -1.0 1.18e+001   0.9 1.59e-001 3.62e-002h  1
  12 2.8801647e+000 1.54e+002 1.04e+002  -1.0 1.14e+001   0.4 2.22e-001 5.43e-002h  1
  13 2.8800860e+000 1.54e+002 3.39e+002  -1.0 3.77e+000   1.7 2.63e-001 3.38e-003h  1
  14 2.8557049e+000 1.26e+002 2.92e+002  -1.0 1.37e+000   1.2 1.18e-001 1.58e-001h  1
  15 2.8520724e+000 1.20e+002 2.67e+002  -1.0 6.10e-001   1.7 7.93e-002 4.06e-002h  1
  16 2.8474010e+000 1.12e+002 2.78e+002  -1.0 1.18e+000   1.2 9.70e-003 6.67e-002h  1
  17 2.8460363e+000 1.07e+002 3.43e+002  -1.0 1.42e+000   1.6 3.82e-001 4.07e-002h  1
  18 2.8438342e+000 1.03e+002 7.91e+002  -1.0 2.26e+000   1.1 2.14e-001 4.27e-002f  1
  19 2.8408605e+000 7.86e+001 5.04e+002  -1.0 8.86e-001   1.6 1.09e-002 2.06e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20 2.8407235e+000 7.75e+001 4.98e+002  -1.0 1.27e+000   2.0 7.06e-002 1.33e-002h  1
  21 2.8399367e+000 7.67e+001 4.70e+002  -1.0 7.02e+000   1.5 2.22e-003 8.86e-003f  1
  22 2.8396520e+000 7.33e+001 4.54e+002  -1.0 8.83e-001   1.9 1.28e-001 4.22e-002h  1
  23 2.8393946e+000 7.25e+001 4.29e+002  -1.0 8.31e+000   1.4 1.11e-002 1.22e-002f  1
  24 2.8393190e+000 6.72e+001 4.08e+002  -1.0 1.41e+000   1.9 1.71e-001 6.87e-002h  1
  25 2.8394109e+000 6.27e+001 5.01e+002  -1.0 1.05e+000   2.3 1.60e-001 6.64e-002h  1
  26 2.8394511e+000 5.99e+001 4.20e+002  -1.0 1.48e+000   1.8 1.56e-001 4.37e-002h  1
  27 2.8399444e+000 5.05e+001 1.10e+003  -1.0 9.22e-001   2.2 6.88e-001 1.48e-001h  1
  28 2.8393110e+000 4.90e+001 1.01e+003  -1.0 1.83e+000   1.8 7.94e-002 3.45e-002f  1
  29 2.8395644e+000 3.05e+001 3.35e+003  -1.0 5.25e-001   2.2 1.05e-001 3.28e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30 2.8385989e+000 2.92e+001 2.82e+003  -1.0 1.63e+000   1.7 9.48e-002 7.09e-002f  1
  31 2.8385299e+000 1.91e+001 1.73e+003  -1.0 2.16e-001   2.1 3.07e-001 3.22e-001h  1
  32 2.8373908e+000 4.63e+000 9.34e+003  -1.0 3.57e-001   1.7 2.98e-001 1.00e+000f  1
  33 2.8373980e+000 2.89e+000 5.55e+003  -1.0 5.73e-002   3.0 5.15e-001 3.80e-001f  1
  34 2.8378352e+000 9.25e-003 1.25e+002  -1.0 1.43e-002   2.5 5.32e-001 1.00e+000f  1
  35 2.8386215e+000 8.80e-003 4.60e+001  -1.0 1.83e-002   2.0 7.89e-001 1.00e+000f  1
  36 2.8402475e+000 1.04e-001 5.13e+001  -1.0 2.85e-002   1.6 7.18e-001 1.00e+000f  1
  37 2.8427542e+000 5.11e-001 7.33e+001  -1.0 5.68e-002   1.1 8.64e-001 1.00e+000f  1
  38 2.8467073e+000 2.24e+000 9.05e+001  -1.0 1.08e-001   0.6 8.04e-001 1.00e+000f  1
  39 2.8608172e+000 3.25e+000 5.61e+001  -1.0 1.99e-001   0.1 1.00e+000 1.00e+000f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40 2.9058464e+000 9.96e+000 4.84e+000  -1.0 2.74e-001  -0.3 1.00e+000 1.00e+000f  1
  41 2.9615175e+000 4.44e+001 4.00e+000  -1.0 5.33e-001  -0.8 1.00e+000 1.00e+000h  1
  42 2.9736958e+000 4.14e+001 3.55e+001  -1.0 4.36e-001  -0.4 1.00e+000 1.00e+000h  1
  43 2.9724108e+000 1.47e+001 8.45e+001  -1.0 2.13e-001   0.0 9.44e-001 1.00e+000h  1
  44 2.9783112e+000 5.80e+001 6.13e+001  -1.0 6.50e+000    -  3.61e-001 2.50e-001h  3
  45 2.9819974e+000 2.72e+001 1.93e+001  -1.0 1.27e+000    -  1.00e+000 1.00e+000h  1
  46 2.9960556e+000 7.46e+001 1.03e+002  -1.0 1.59e+000    -  5.17e-001 5.31e-001H  1
  47 2.9780682e+000 4.17e+000 2.30e+002  -1.0 7.86e-001  -0.4 6.62e-001 9.44e-001H  1
  48 2.9832949e+000 4.92e+000 5.60e+001  -1.0 1.10e+000  -0.9 1.00e+000 1.00e+000f  1
  49 2.9840880e+000 1.75e+000 1.83e+001  -1.0 8.68e-001  -1.4 1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50 2.9851321e+000 7.45e+000 2.10e+001  -1.0 2.55e+000    -  1.00e+000 5.00e-001h  2
  51 2.9835065e+000 1.21e+000 1.03e+001  -1.0 5.92e-001  -1.9 1.00e+000 1.00e+000h  1
  52 2.9830109e+000 4.98e-001 1.11e+000  -1.0 2.04e-001  -1.4 1.00e+000 1.00e+000h  1
  53 2.9829632e+000 2.73e-001 3.61e-001  -1.0 7.72e-002  -1.0 1.00e+000 1.00e+000h  1
  54 2.9427813e+000 8.46e-001 3.02e+000  -1.7 1.34e-001  -1.5 1.00e+000 1.00e+000h  1
  55 2.8393248e+000 1.54e-001 1.04e-001  -1.7 4.46e-002  -1.1 1.00e+000 1.00e+000h  1
  56 2.6504432e+000 3.34e-001 3.54e-001  -2.5 5.90e-002  -1.6 9.82e-001 1.00e+000h  1
  57 1.8812538e+000 7.25e+000 1.01e-001  -2.5 2.82e-001  -2.0 1.00e+000 1.00e+000h  1
  58 1.6933338e+000 1.37e+001 4.53e-002  -2.5 3.69e-001  -2.5 1.00e+000 1.00e+000h  1
  59 1.6672137e+000 9.95e+001 7.53e-001  -2.5 1.49e+000  -3.0 1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60 1.6673373e+000 9.92e+001 5.77e-001  -2.5 6.16e+000  -2.6 1.42e-001 5.05e-002h  3
  61 1.6661186e+000 8.84e+001 5.81e-001  -2.5 1.82e+000  -3.0 1.00e+000 3.84e-001h  2
  62 1.6658608e+000 2.46e+001 1.07e+000  -2.5 5.71e-001  -1.7 1.00e+000 5.00e-001h  2
  63 1.6650472e+000 8.09e+000 1.09e-001  -2.5 3.33e-001  -2.2 1.00e+000 1.00e+000h  1
