This is Ipopt version 3.12.3, running with linear solver mumps.
NOTE: Other linear solvers might be more efficient (see Ipopt documentation).

Number of nonzeros in equality constraint Jacobian...:    97420
Number of nonzeros in inequality constraint Jacobian.:    10434
Number of nonzeros in Lagrangian Hessian.............:    99184

Total number of variables............................:    27871
                     variables with only lower bounds:     5229
                variables with lower and upper bounds:    22642
                     variables with only upper bounds:        0
Total number of equality constraints.................:    22619
Total number of inequality constraints...............:     5217
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:     5217
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0 2.2688105e+000 1.94e-001 6.33e+000  -1.0 0.00e+000    -  0.00e+000 0.00e+000   0
   1 2.6571445e+000 7.45e+000 5.22e+002  -1.0 7.27e+000    -  8.61e-002 1.63e-001f  1
   2 2.6591107e+000 7.46e+000 5.34e+002  -1.0 1.07e+001    -  1.21e-002 1.25e-003f  1
   3 2.6671200e+000 6.57e+000 4.82e+002  -1.0 1.31e-001   2.0 5.17e-002 1.18e-001f  1
   4 2.6672567e+000 6.53e+000 1.94e+003  -1.0 6.29e-001   2.4 8.02e-001 5.00e-003h  1
   5 2.6734006e+000 7.98e+000 1.77e+003  -1.0 1.73e+000   1.9 6.84e-001 8.09e-002f  1
   6 2.6746281e+000 7.94e+000 5.25e+002  -1.0 5.76e-001   1.5 1.00e+000 5.63e-003f  1
   7 3.1388059e+000 7.54e+000 3.70e+002  -1.0 5.43e-001   1.0 3.63e-001 1.00e+000f  1
   8 3.2091330e+000 6.50e+000 3.36e+002  -1.0 2.45e+000   0.5 1.16e-001 1.34e-001f  1
   9 3.4118094e+000 1.76e+000 3.47e+002  -1.0 4.36e-001   0.9 3.57e-001 7.77e-001f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10 3.4143288e+000 1.74e+000 3.42e+002  -1.0 2.73e-001   0.5 1.97e-002 1.24e-002f  1
  11 3.4818823e+000 2.69e+001 1.97e+002  -1.0 1.28e+000  -0.0 2.14e-001 4.00e-001f  1
  12 3.5353998e+000 1.96e+001 1.41e+002  -1.0 3.14e-001   0.4 3.79e-001 2.71e-001f  1
  13 3.8598740e+000 1.25e+001 4.75e+001  -1.0 2.73e-001  -0.1 4.54e-001 1.00e+000f  1
  14 4.4452215e+000 4.46e+001 3.00e+001  -1.0 2.34e-001  -0.5 1.00e+000 1.00e+000f  1
  15 4.6868463e+000 4.65e+001 2.09e+001  -1.0 2.09e-001  -0.1 1.00e+000 6.72e-001h  1
  16 4.8163192e+000 2.53e+002 6.22e+001  -1.0 2.47e+000  -0.6 1.54e-001 3.91e-001h  1
  17 5.0539924e+000 1.01e+002 4.71e+001  -1.0 5.03e-001  -1.1 6.25e-001 1.00e+000h  1
  18 5.0407528e+000 3.17e+001 1.47e+001  -1.0 3.35e-001  -1.5 1.00e+000 1.00e+000h  1
  19 5.0147142e+000 2.52e+001 2.87e+000  -1.0 7.21e-001  -2.0 1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20 4.9318468e+000 4.50e+001 3.78e+000  -1.0 2.23e+000  -2.5 1.00e+000 1.00e+000H  1
  21 4.9514347e+000 7.22e+000 3.59e+000  -1.0 2.40e+000  -3.0 1.00e+000 1.00e+000h  1
  22 4.9528227e+000 2.68e-001 4.66e-001  -1.0 2.94e-001  -1.6 1.00e+000 1.00e+000h  1
  23 4.8507024e+000 4.41e+000 9.49e-001  -1.7 5.79e-001    -  1.00e+000 1.00e+000h  1
  24 4.5016483e+000 5.49e-001 6.41e-002  -1.7 6.98e-001    -  1.00e+000 1.00e+000h  1
  25 4.1147065e+000 1.43e-001 7.52e-001  -2.5 1.38e-001    -  1.00e+000 1.00e+000h  1
  26 2.9578329e+000 3.76e-001 4.42e-002  -2.5 1.28e-001  -2.1 1.00e+000 1.00e+000h  1
  27 2.5855534e+000 2.51e+001 3.94e-001  -2.5 1.61e+000  -2.6 1.00e+000 6.83e-001h  1
  28 2.3576009e+000 7.98e+000 1.09e-001  -2.5 2.76e-001  -2.2 1.00e+000 1.00e+000h  1
  29 2.0733664e+000 6.78e+000 1.34e-001  -2.5 5.72e-001  -2.7 1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30 2.0615036e+000 1.91e+000 7.41e-003  -2.5 4.36e-001  -3.1 1.00e+000 1.00e+000h  1
  31 5.4824031e-001 1.38e+002 1.86e+000  -3.8 7.05e+000  -3.6 2.14e-001 1.00e+000h  1
  32 5.5759963e-001 1.23e+002 1.17e+000  -3.8 9.72e+000  -3.2 3.75e-001 2.07e-001h  1
  33 5.6659782e-001 9.78e+001 1.11e+000  -3.8 2.45e+000    -  1.29e-002 1.69e-001h  1
  34 5.7042515e-001 9.76e+001 1.68e+000  -3.8 2.23e+001    -  2.71e-001 4.22e-001h  1
  35 5.7193843e-001 7.67e+001 1.36e+000  -3.8 7.05e-001  -0.9 4.36e-003 2.14e-001h  1
  36 5.7239042e-001 7.18e+001 1.27e+000  -3.8 1.58e+000  -1.4 5.49e-001 6.45e-002h  2
  37 5.7244954e-001 7.08e+001 1.25e+000  -3.8 2.47e+000  -1.9 9.33e-002 1.39e-002h  5
  38 5.7221327e-001 6.65e+001 1.17e+000  -3.8 1.41e+000  -1.5 5.78e-001 6.21e-002h  3
  39 5.7172188e-001 5.23e+001 8.82e-001  -3.8 1.08e+000  -1.1 3.47e-001 2.18e-001H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40 5.7226581e-001 4.16e+001 2.47e+000  -3.8 9.27e-001  -0.6 9.21e-001 2.13e-001h  1
  41 5.6865615e-001 3.80e+001 2.16e+000  -3.8 8.13e-001  -1.1 1.30e-001 8.90e-002h  3
  42 5.6965925e-001 2.59e+001 1.09e+000  -3.8 7.06e-001  -0.7 1.00e+000 3.38e-001h  1
  43 5.6972232e-001 2.59e+001 1.08e+000  -3.8 1.44e+001  -1.2 7.60e-003 2.45e-004h  8
  44 5.6965236e-001 1.72e+001 9.95e-001  -3.8 5.14e-001  -0.7 1.00e+000 3.57e-001h  1
  45 5.5838180e-001 9.11e+000 2.83e+000  -3.8 5.37e-001  -1.2 3.72e-001 4.39e-001H  1
  46 5.5174320e-001 4.18e+000 1.32e+000  -3.8 3.99e-001  -0.8 3.20e-001 5.38e-001h  1
  47 5.2022825e-001 1.05e+000 3.96e-001  -3.8 2.59e-001  -1.3 6.38e-001 7.50e-001h  1
  48 4.1769507e-001 4.88e+000 5.66e-001  -3.8 2.36e+000  -1.7 2.74e-001 1.65e-001H  1
  49 4.3036682e-001 1.16e+000 2.09e+000  -3.8 1.21e-001  -0.4 1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50 4.2157085e-001 9.18e-001 1.65e+000  -3.8 1.46e-001  -0.9 5.08e-001 2.25e-001h  1
  51 4.0157916e-001 9.74e-002 2.75e-001  -3.8 6.87e-002  -0.5 7.03e-001 1.00e+000h  1
  52 3.7000281e-001 5.58e-002 1.16e-001  -3.8 1.08e-001  -0.9 1.00e+000 1.00e+000h  1
  53 3.0118143e-001 5.33e-001 2.02e-001  -3.8 2.37e-001  -1.4 5.65e-001 1.00e+000h  1
  54 2.9242757e-001 8.33e-001 1.95e-001  -3.8 1.87e+000  -1.9 2.61e-001 6.49e-002h  1
  55 2.3659020e-001 1.28e+000 1.79e-001  -3.8 1.74e+000  -2.4 6.31e-001 3.92e-001h  1
  56 1.9753461e-001 2.30e+001 2.56e-001  -3.8 8.77e-001  -2.8 9.83e-002 1.00e+000h  1
  57 1.9264654e-001 6.47e+000 8.20e-002  -3.8 4.94e-001  -2.4 9.10e-001 7.55e-001h  1
  58 1.8386579e-001 5.22e+000 9.91e-002  -3.8 1.35e+000  -2.9 5.09e-001 1.00e+000h  1
  59 1.7308404e-001 3.06e+001 2.65e-001  -3.8 2.91e+000  -3.4 8.87e-001 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60 1.6488050e-001 1.69e+002 5.65e-001  -3.8 1.00e+001  -3.8 5.11e-001 8.21e-001h  1
  61 1.6599883e-001 1.50e+002 3.69e-001  -3.8 5.47e+000  -3.4 2.14e-001 1.93e-001h  1
  62 1.6815826e-001 1.25e+002 3.13e-001  -3.8 1.37e+000  -3.0 9.94e-002 1.76e-001h  1
  63 1.5862600e-001 1.28e+002 2.99e-001  -3.8 7.58e+000  -3.5 5.98e-002 1.83e-002H  1
